transaction_sk,transaction_id,transaction_datetime,sales_outlet_sk,product_sk,customer_sk,staff_sk,quantity,total_sold_out,line_item_amount,unit_price,promo_item
34,2,2019-04-09T09:30:01.000Z,2,24,14,8,2,7,600,300,NO
35,2,2019-04-06T15:30:41.000Z,2,25,653,17,2,12,440,220,NO
36,2,2019-04-07T10:04:24.000Z,4,25,1634,14,1,9,220,220,NO
37,2,2019-04-11T07:18:01.000Z,2,25,7,18,1,10,220,220,NO
38,2,2019-04-21T10:58:42.000Z,4,26,1143,30,1,5,300,300,NO
39,2,2019-04-14T09:25:47.000Z,2,29,764,16,1,8,250,250,NO
40,2,2019-04-21T09:25:47.000Z,2,29,764,16,1,8,250,250,NO
41,2,2019-04-21T10:12:59.000Z,7,30,2132,45,2,6,600,300,NO
42,2,2019-04-13T08:40:48.000Z,2,32,138,20,1,2,300,300,NO
43,2,2019-04-11T09:57:08.000Z,7,35,2016,42,2,16,620,310,NO
44,2,2019-04-07T09:48:22.000Z,2,39,312,20,2,25,850,425,NO
45,2,2019-04-01T09:05:11.000Z,7,42,2179,42,1,24,250,250,NO
46,2,2019-04-10T08:32:04.000Z,2,44,172,18,2,6,500,250,NO
47,2,2019-04-08T10:42:48.000Z,2,45,158,7,1,9,300,300,NO
48,2,2019-04-08T10:42:48.000Z,2,46,158,7,1,9,250,250,NO
49,2,2019-04-12T06:42:12.000Z,7,47,2186,44,2,11,600,300,NO
50,2,2019-04-01T15:25:09.000Z,4,50,1088,30,2,14,500,250,NO
51,2,2019-04-08T09:36:28.000Z,4,52,1122,28,1,14,250,250,NO
52,2,2019-04-11T09:00:34.000Z,4,52,908,28,1,10,250,250,NO
53,2,2019-04-28T16:20:46.000Z,4,52,864,30,2,12,500,250,NO
54,2,2019-04-03T18:51:56.000Z,2,53,235,12,2,22,600,300,NO
55,2,2019-04-08T10:42:48.000Z,2,54,158,7,1,10,250,250,NO
56,2,2019-04-10T08:50:06.000Z,7,55,1752,42,1,15,400,400,NO
57,2,2019-04-13T10:12:20.000Z,4,55,1619,30,1,12,400,400,NO
58,2,2019-04-12T08:31:28.000Z,2,57,325,18,1,2,310,310,NO
59,2,2019-04-29T12:53:18.000Z,7,60,2165,15,1,4,375,375,NO
60,2,2019-04-11T09:00:34.000Z,4,69,908,28,1,11,325,325,NO
61,2,2019-04-13T08:40:48.000Z,2,69,138,20,1,5,325,325,NO
62,2,2019-04-21T10:58:42.000Z,4,71,1143,30,1,4,375,375,NO
63,2,2019-04-14T09:25:47.000Z,2,79,764,16,1,7,375,375,NO
64,2,2019-04-21T09:25:47.000Z,2,79,764,16,1,6,375,375,NO
65,3,2019-04-11T10:29:56.000Z,7,1,1793,41,1,2,1800,1800,NO
66,3,2019-04-04T18:48:10.000Z,7,22,1776,42,1,17,200,200,NO
67,3,2019-04-07T08:57:59.000Z,4,22,1597,29,2,5,400,200,NO
68,3,2019-04-28T12:59:15.000Z,2,22,727,14,2,8,400,200,NO
69,3,2019-04-10T10:22:41.000Z,2,24,179,18,2,6,600,300,NO
70,3,2019-04-21T09:17:26.000Z,7,27,2056,45,2,3,700,350,NO
71,3,2019-04-13T07:59:31.000Z,2,34,111,16,1,6,245,245,NO
72,3,2019-04-13T10:53:41.000Z,7,37,1970,42,2,21,600,300,NO
73,3,2019-04-25T08:38:09.000Z,7,40,1814,6,1,6,375,375,NO
74,3,2019-04-08T08:31:13.000Z,4,41,1484,26,1,15,425,425,NO
75,3,2019-04-27T10:01:49.000Z,7,43,2086,42,2,11,600,300,NO
76,3,2019-04-06T18:31:14.000Z,2,47,610,12,2,11,600,300,NO
77,3,2019-04-08T10:46:05.000Z,2,47,597,9,2,13,600,300,NO
78,3,2019-04-05T17:16:50.000Z,2,49,280,17,2,31,600,300,NO
79,3,2019-04-11T10:29:56.000Z,7,49,1793,41,2,19,600,300,NO
80,3,2019-04-11T10:55:32.000Z,4,51,1496,28,1,13,300,300,NO
81,3,2019-04-03T16:43:22.000Z,4,54,1609,30,1,19,250,250,NO
82,3,2019-04-09T09:50:15.000Z,4,54,966,28,1,6,250,250,NO
83,3,2019-04-07T17:11:59.000Z,2,55,246,16,2,20,800,400,NO
84,3,2019-04-11T07:33:46.000Z,2,56,766,18,1,11,255,255,NO
85,3,2019-04-12T09:05:01.000Z,7,57,2055,44,1,11,310,310,NO
86,3,2019-04-15T07:21:29.000Z,4,59,1079,12,2,11,900,450,NO
87,3,2019-04-08T08:31:13.000Z,4,63,1484,26,1,16,80,80,NO
88,3,2019-04-25T08:38:09.000Z,7,63,1814,6,1,1,80,80,NO
89,3,2019-04-08T08:31:13.000Z,4,64,1484,26,2,23,160,80,NO
90,3,2019-04-13T10:53:41.000Z,7,65,1970,42,1,14,80,80,NO
91,3,2019-04-12T09:11:54.000Z,2,7,280,18,1,2,1975,1975,NO
92,3,2019-04-08T08:31:13.000Z,4,72,1484,26,1,6,325,325,NO
93,3,2019-04-12T09:05:01.000Z,7,8,2055,44,1,1,4500,4500,NO
94,3,2019-04-29T16:33:19.000Z,4,86,1731,26,1,23,300,300,NO
95,4,2019-04-08T07:22:14.000Z,2,21,605,7,1,1,1333,1333,NO
96,4,2019-04-29T09:29:41.000Z,7,22,2053,45,2,6,400,200,NO
97,4,2019-04-12T10:44:55.000Z,4,23,1732,26,2,12,500,250,NO
98,4,2019-04-12T07:07:25.000Z,2,30,753,19,2,4,600,300,NO
99,4,2019-04-10T10:24:17.000Z,4,31,925,28,2,9,440,220,NO
100,4,2019-04-06T14:13:48.000Z,2,32,638,17,2,14,600,300,NO
101,4,2019-04-21T07:00:14.000Z,4,32,1683,30,1,6,300,300,NO
102,4,2019-04-03T17:49:43.000Z,2,35,246,12,1,18,310,310,NO
103,4,2019-04-11T07:05:20.000Z,7,38,2183,42,1,32,375,375,NO
104,4,2019-04-05T15:01:55.000Z,4,40,1160,12,2,12,750,375,NO
105,4,2019-04-20T10:07:05.000Z,2,41,378,16,1,4,425,425,NO
106,4,2019-04-29T09:09:32.000Z,4,41,1716,26,2,12,850,425,NO
107,4,2019-04-07T11:02:23.000Z,2,42,551,14,1,15,250,250,NO
108,4,2019-04-13T08:46:30.000Z,4,42,1346,30,2,9,500,250,NO
109,4,2019-04-10T06:38:38.000Z,7,43,2210,42,1,11,300,300,NO
110,4,2019-04-13T10:53:55.000Z,2,46,175,14,2,15,500,250,NO
111,4,2019-04-24T10:05:39.000Z,7,47,2110,44,1,11,300,300,NO
112,4,2019-04-08T07:22:14.000Z,2,50,605,7,1,21,250,250,NO
113,4,2019-04-03T10:06:47.000Z,7,51,1747,15,1,11,300,300,NO
114,4,2019-04-09T08:18:49.000Z,2,53,31,8,2,11,600,300,NO
115,4,2019-04-13T08:01:47.000Z,7,57,1758,15,2,9,620,310,NO
116,4,2019-04-10T08:52:33.000Z,2,58,92,18,2,9,700,350,NO
117,4,2019-04-09T08:02:30.000Z,4,59,1596,28,1,8,450,450,NO
118,4,2019-04-11T07:05:20.000Z,7,63,2183,42,1,21,80,80,NO
119,4,2019-04-13T10:53:55.000Z,2,69,175,14,1,5,325,325,NO
120,4,2019-04-13T08:46:30.000Z,4,73,1346,30,1,3,375,375,NO
121,4,2019-04-12T10:44:55.000Z,4,75,1732,26,1,11,350,350,NO
122,4,2019-04-29T09:09:32.000Z,4,76,1716,26,1,13,350,350,NO
123,4,2019-04-10T10:24:17.000Z,4,81,925,28,1,1,2800,2800,NO
124,4,2019-04-09T08:02:30.000Z,4,83,1596,28,1,3,1400,1400,NO
125,4,2019-04-20T10:07:05.000Z,2,84,378,16,2,6,160,80,NO
126,4,2019-04-12T10:14:58.000Z,7,86,2213,44,2,8,600,300,NO
127,5,2019-04-08T07:53:28.000Z,4,24,1160,28,1,4,300,300,NO
128,5,2019-04-11T07:21:20.000Z,7,29,1820,41,1,14,250,250,NO
129,5,2019-04-14T10:35:27.000Z,7,31,1770,45,1,3,220,220,NO
130,5,2019-04-03T18:14:16.000Z,2,32,56,17,1,17,300,300,NO
131,5,2019-04-07T15:57:16.000Z,2,32,695,16,2,21,600,300,NO
132,5,2019-04-20T09:30:49.000Z,2,33,353,12,1,2,350,350,NO
133,5,2019-04-27T08:22:25.000Z,4,33,1199,12,3,10,1050,350,NO
134,5,2019-04-10T10:04:11.000Z,2,35,89,20,2,9,620,310,NO
135,5,2019-04-11T09:24:14.000Z,2,40,437,20,2,7,750,375,NO
136,5,2019-04-06T12:45:25.000Z,2,42,213,17,1,12,250,250,NO
137,5,2019-04-11T07:16:00.000Z,4,45,817,26,1,19,300,300,NO
138,5,2019-04-02T08:30:52.000Z,4,47,1033,12,2,21,600,300,NO
139,5,2019-04-18T10:26:56.000Z,2,50,112,20,2,4,500,250,NO
140,5,2019-04-08T08:10:25.000Z,2,54,544,7,2,10,500,250,NO
141,5,2019-04-10T07:56:44.000Z,4,54,1685,26,2,12,500,250,NO
142,5,2019-04-12T06:35:32.000Z,7,56,2179,6,2,7,510,255,NO
143,5,2019-04-01T10:38:16.000Z,7,57,2193,45,1,22,310,310,NO
144,5,2019-04-08T08:10:25.000Z,2,57,544,7,1,11,310,310,NO
145,5,2019-04-13T07:41:03.000Z,2,57,407,14,1,2,310,310,NO
146,5,2019-04-09T08:08:13.000Z,2,60,659,8,2,15,750,375,NO
147,5,2019-04-13T10:45:36.000Z,4,60,862,30,1,10,375,375,NO
148,5,2019-04-11T09:24:14.000Z,2,64,437,20,1,9,80,80,NO
149,5,2019-04-01T10:38:16.000Z,7,69,2193,45,1,4,325,325,NO
150,5,2019-04-02T08:30:52.000Z,4,69,1033,12,1,9,325,325,NO
151,5,2019-04-11T07:16:00.000Z,4,71,817,26,1,10,375,375,NO
152,5,2019-04-20T09:30:49.000Z,2,71,353,12,1,8,375,375,NO
153,5,2019-04-10T07:56:44.000Z,4,75,1685,26,1,6,350,350,NO
154,5,2019-04-09T08:08:13.000Z,2,76,659,8,2,4,700,350,NO
155,5,2019-04-07T15:57:16.000Z,2,77,695,16,1,6,300,300,NO
156,5,2019-04-27T08:22:25.000Z,4,78,1199,12,1,4,450,450,NO
157,5,2019-04-11T07:21:20.000Z,7,83,1820,41,1,2,1400,1400,NO
158,5,2019-04-28T12:14:10.000Z,4,86,868,30,1,33,300,300,NO
159,6,2019-04-07T07:30:22.000Z,2,23,374,16,2,14,500,250,NO
160,6,2019-04-11T10:54:04.000Z,2,23,718,20,1,14,250,250,NO
161,6,2019-04-29T15:56:15.000Z,4,25,1338,12,2,21,440,220,NO
162,6,2019-04-10T09:45:52.000Z,2,30,769,20,1,3,300,300,NO
163,6,2019-04-06T17:57:26.000Z,2,32,168,12,1,14,300,300,NO
164,6,2019-04-05T12:35:25.000Z,2,37,319,17,2,28,600,300,NO
165,6,2019-04-08T11:25:34.000Z,7,38,2099,42,1,6,375,375,NO
166,6,2019-04-07T10:28:43.000Z,4,43,1363,29,2,16,600,300,NO
167,6,2019-04-05T18:05:39.000Z,4,48,1082,12,1,19,250,250,NO
168,6,2019-04-14T10:57:34.000Z,2,48,136,16,2,7,500,250,NO
169,6,2019-04-21T10:57:34.000Z,2,48,136,16,2,7,500,250,NO
170,6,2019-04-11T06:46:30.000Z,4,52,1120,30,1,10,250,250,NO
171,6,2019-04-25T09:11:35.000Z,4,53,1357,12,1,8,300,300,NO
172,6,2019-04-01T08:57:46.000Z,7,54,2143,45,1,24,250,250,NO
173,6,2019-04-10T07:29:06.000Z,4,56,1363,30,1,9,255,255,NO
174,6,2019-04-09T10:52:00.000Z,2,57,37,7,1,10,310,310,NO
175,6,2019-04-05T18:05:39.000Z,4,69,1082,12,1,10,325,325,NO
176,6,2019-04-10T07:29:06.000Z,4,71,1363,30,1,10,375,375,NO
177,6,2019-04-06T17:57:26.000Z,2,73,168,12,1,7,375,375,NO
178,7,2019-04-10T07:04:14.000Z,4,27,1569,26,1,11,350,350,NO
179,7,2019-04-11T09:43:35.000Z,2,27,254,20,1,6,350,350,NO
180,7,2019-04-12T07:48:55.000Z,2,27,414,18,2,16,700,350,NO
181,7,2019-04-12T10:51:43.000Z,4,28,1560,28,2,14,400,200,NO
182,7,2019-04-13T10:06:43.000Z,2,28,8,16,1,12,200,200,NO
183,7,2019-04-20T08:39:51.000Z,2,29,142,16,1,5,250,250,NO
184,7,2019-04-06T12:38:33.000Z,7,30,1830,42,2,25,600,300,NO
185,7,2019-04-28T14:21:10.000Z,7,31,2162,42,2,3,440,220,NO
186,7,2019-04-07T17:17:49.000Z,2,35,105,16,2,22,620,310,NO
187,7,2019-04-12T10:21:12.000Z,7,37,1880,44,2,15,600,300,NO
188,7,2019-04-27T07:17:16.000Z,4,38,1044,30,3,6,1125,375,NO
189,7,2019-04-28T16:40:13.000Z,4,40,1425,26,2,27,750,375,NO
190,7,2019-04-11T07:54:58.000Z,4,42,1488,26,1,11,250,250,NO
191,7,2019-04-08T09:32:15.000Z,2,44,410,7,1,12,250,250,NO
192,7,2019-04-08T09:32:15.000Z,2,44,410,7,1,12,250,250,NO
193,7,2019-04-16T09:57:43.000Z,7,44,1892,42,2,9,500,250,NO
194,7,2019-04-10T06:30:39.000Z,7,50,1966,41,2,7,500,250,NO
195,7,2019-04-02T15:06:52.000Z,4,51,1606,12,2,21,600,300,NO
196,7,2019-04-01T12:04:43.000Z,2,52,558,12,1,29,250,250,NO
197,7,2019-04-06T15:37:42.000Z,2,57,643,12,2,21,620,310,NO
198,7,2019-04-11T10:19:16.000Z,7,59,2089,44,1,4,450,450,NO
199,7,2019-04-27T07:17:16.000Z,4,63,1044,30,1,5,80,80,NO
200,7,2019-04-11T10:19:16.000Z,7,70,2089,44,1,10,325,325,NO
201,7,2019-04-02T15:06:52.000Z,4,75,1606,12,1,12,350,350,NO
202,7,2019-04-27T07:17:16.000Z,4,81,1044,30,1,2,2800,2800,NO
203,7,2019-04-12T10:21:12.000Z,7,84,1880,44,2,15,160,80,NO
204,8,2019-04-07T10:49:08.000Z,7,23,2040,42,1,2,250,250,NO
205,8,2019-04-10T10:53:46.000Z,2,25,208,18,1,12,220,220,NO
206,8,2019-04-19T07:50:20.000Z,7,26,2229,42,2,6,600,300,NO
207,8,2019-04-13T09:32:38.000Z,4,27,1450,30,2,13,700,350,NO
208,8,2019-04-07T14:06:23.000Z,2,30,131,14,1,17,300,300,NO
209,8,2019-04-03T19:10:47.000Z,7,34,1889,45,2,12,490,245,NO
210,8,2019-04-06T18:13:51.000Z,2,34,256,12,2,8,490,245,NO
211,8,2019-04-04T11:23:32.000Z,4,39,1134,12,2,11,850,425,NO
212,8,2019-04-07T10:49:08.000Z,7,4,2040,42,1,2,2045,2045,NO
213,8,2019-04-13T08:58:46.000Z,2,41,524,14,1,9,425,425,NO
214,8,2019-04-29T16:44:47.000Z,4,42,974,30,2,17,500,250,NO
215,8,2019-04-05T19:51:09.000Z,2,45,539,17,1,21,300,300,NO
216,8,2019-04-10T06:52:01.000Z,4,45,986,26,2,12,600,300,NO
217,8,2019-04-20T09:20:53.000Z,2,45,618,12,1,8,300,300,NO
218,8,2019-04-09T07:10:13.000Z,2,46,451,9,2,5,500,250,NO
219,8,2019-04-08T07:02:53.000Z,2,49,301,9,2,11,600,300,NO
220,8,2019-04-07T10:26:18.000Z,4,58,906,14,2,3,700,350,NO
221,8,2019-04-08T08:06:38.000Z,4,61,1365,26,1,7,475,475,NO
222,8,2019-04-11T08:19:01.000Z,4,61,924,30,1,18,475,475,NO
223,8,2019-04-27T09:25:23.000Z,4,61,1287,12,2,4,950,475,NO
224,8,2019-04-10T10:53:46.000Z,2,70,208,18,1,7,325,325,NO
225,8,2019-04-07T14:06:23.000Z,2,71,131,14,1,9,375,375,NO
226,8,2019-04-04T11:23:32.000Z,4,76,1134,12,1,11,350,350,NO
227,8,2019-04-29T16:44:47.000Z,4,79,974,30,1,12,375,375,NO
228,8,2019-04-13T08:58:46.000Z,2,84,524,14,2,8,160,80,NO
229,9,2019-04-06T18:02:34.000Z,2,23,674,17,1,17,250,250,NO
230,9,2019-04-27T10:40:25.000Z,4,23,959,26,2,14,500,250,NO
231,9,2019-04-11T07:59:28.000Z,2,25,106,18,1,10,220,220,NO
232,9,2019-04-28T16:15:30.000Z,4,31,963,30,1,15,220,220,NO
233,9,2019-04-08T08:54:36.000Z,2,33,76,7,1,11,350,350,NO
234,9,2019-04-12T08:30:59.000Z,4,33,1408,12,1,7,350,350,NO
235,9,2019-04-12T09:51:58.000Z,7,33,1851,42,1,7,350,350,NO
236,9,2019-04-07T07:59:49.000Z,4,35,840,29,2,5,620,310,NO
237,9,2019-04-08T08:54:36.000Z,2,37,76,7,2,10,600,300,NO
238,9,2019-04-09T10:52:04.000Z,2,47,58,9,1,15,300,300,NO
239,9,2019-04-01T09:22:18.000Z,4,50,1710,12,2,14,500,250,NO
240,9,2019-04-07T07:06:49.000Z,2,50,224,14,2,30,500,250,NO
241,9,2019-04-10T07:20:32.000Z,7,53,1964,41,2,22,600,300,NO
242,9,2019-04-05T11:21:55.000Z,2,54,530,17,2,22,500,250,NO
243,9,2019-04-03T12:38:33.000Z,7,56,2195,45,1,19,255,255,NO
244,9,2019-04-11T10:34:34.000Z,4,57,1464,26,2,10,620,310,NO
245,9,2019-04-27T10:59:01.000Z,7,60,1765,45,1,8,375,375,NO
246,9,2019-04-10T07:20:32.000Z,7,70,1964,41,1,5,325,325,NO
247,9,2019-04-28T16:15:30.000Z,4,72,963,30,1,19,325,325,NO
248,9,2019-04-11T10:34:34.000Z,4,78,1464,26,1,7,450,450,NO
249,10,2019-04-28T16:26:41.000Z,7,23,1797,45,1,5,250,250,NO
250,10,2019-04-02T18:44:07.000Z,2,24,209,17,1,23,300,300,NO
251,10,2019-04-13T09:21:56.000Z,7,24,2174,42,2,13,600,300,NO
252,10,2019-04-14T10:34:21.000Z,2,26,214,18,1,4,300,300,NO
253,10,2019-04-21T10:34:21.000Z,2,26,214,18,1,4,300,300,NO
254,10,2019-04-29T08:20:29.000Z,4,26,892,26,1,21,300,300,NO
255,10,2019-04-06T16:30:14.000Z,2,27,708,12,2,14,700,350,NO
256,10,2019-04-10T11:04:04.000Z,7,30,2198,44,2,15,600,300,NO
257,10,2019-04-03T08:55:24.000Z,7,35,1886,45,2,20,620,310,NO
258,10,2019-04-07T09:40:18.000Z,2,35,418,14,2,22,620,310,NO
259,10,2019-04-08T07:20:03.000Z,2,37,565,9,1,10,300,300,NO
260,10,2019-04-10T09:42:15.000Z,4,37,1061,30,1,3,300,300,NO
261,10,2019-04-08T07:20:03.000Z,2,41,565,9,1,19,425,425,NO
262,10,2019-04-08T07:20:03.000Z,2,41,565,9,1,19,425,425,NO
263,10,2019-04-08T07:20:03.000Z,2,41,565,9,1,19,425,425,NO
264,10,2019-04-02T08:03:02.000Z,4,42,1499,12,2,21,500,250,NO
265,10,2019-04-11T08:31:55.000Z,7,44,1782,41,1,4,250,250,NO
266,10,2019-04-08T08:22:29.000Z,4,45,1511,25,2,20,600,300,NO
267,10,2019-04-09T09:10:06.000Z,2,45,790,9,1,7,300,300,NO
268,10,2019-04-09T09:56:13.000Z,4,47,1116,28,2,8,600,300,NO
269,10,2019-04-27T10:56:43.000Z,4,51,1491,26,1,13,300,300,NO
270,10,2019-04-11T08:39:14.000Z,2,53,128,20,1,9,300,300,NO
271,10,2019-04-07T07:37:21.000Z,4,54,1056,14,2,4,500,250,NO
272,10,2019-04-12T08:22:19.000Z,4,60,1652,12,2,18,750,375,NO
273,10,2019-04-12T09:14:29.000Z,2,61,798,20,2,7,950,475,NO
274,10,2019-04-10T11:04:04.000Z,7,69,2198,44,1,9,325,325,NO
275,10,2019-04-08T07:20:03.000Z,2,70,565,9,2,8,650,325,NO
276,10,2019-04-07T07:37:21.000Z,4,71,1056,14,1,18,375,375,NO
277,10,2019-04-10T09:42:15.000Z,4,84,1061,30,1,8,80,80,NO
278,11,2019-04-27T10:04:52.000Z,7,22,1747,42,2,7,400,200,NO
279,11,2019-04-08T11:14:19.000Z,7,25,2067,43,2,4,440,220,NO
280,11,2019-04-13T08:06:46.000Z,7,25,1790,45,2,20,440,220,NO
281,11,2019-04-20T08:22:22.000Z,7,26,2162,42,1,4,300,300,NO
282,11,2019-04-01T15:54:39.000Z,2,27,781,17,2,13,700,350,NO
283,11,2019-04-15T10:20:02.000Z,2,29,151,20,1,10,250,250,NO
284,11,2019-04-19T10:20:02.000Z,2,29,151,20,1,10,250,250,NO
285,11,2019-04-02T07:01:24.000Z,4,31,888,12,2,16,440,220,NO
286,11,2019-04-14T10:45:03.000Z,2,33,461,20,1,4,350,350,NO
287,11,2019-04-21T10:45:03.000Z,2,33,461,20,1,3,350,350,NO
288,11,2019-04-11T09:27:44.000Z,2,35,362,19,1,5,310,310,NO
289,11,2019-04-20T07:30:01.000Z,4,35,1454,12,3,4,930,310,NO
290,11,2019-04-04T12:16:39.000Z,7,37,1894,42,1,17,300,300,NO
291,11,2019-04-08T09:54:30.000Z,2,38,440,7,1,20,375,375,NO
292,11,2019-04-08T09:54:30.000Z,2,38,440,7,1,20,375,375,NO
293,11,2019-04-08T09:54:30.000Z,2,38,440,7,1,20,375,375,NO
294,11,2019-04-07T09:27:50.000Z,4,40,1398,14,1,9,375,375,NO
295,11,2019-04-29T07:24:31.000Z,2,40,469,20,1,4,375,375,NO
296,11,2019-04-20T10:24:14.000Z,2,43,760,16,1,3,300,300,NO
297,11,2019-04-10T07:05:07.000Z,2,46,520,20,1,13,250,250,NO
298,11,2019-04-11T06:49:49.000Z,7,46,2081,41,2,14,500,250,NO
299,11,2019-04-09T10:28:04.000Z,2,51,92,6,1,6,300,300,NO
300,11,2019-04-06T15:22:02.000Z,2,52,141,17,2,16,500,250,NO
301,11,2019-04-07T09:55:28.000Z,2,57,589,14,1,19,310,310,NO
302,11,2019-04-13T08:08:49.000Z,4,59,1724,30,1,12,450,450,NO
303,11,2019-04-28T14:28:21.000Z,4,60,1103,12,1,12,375,375,NO
304,11,2019-04-07T09:55:28.000Z,2,72,589,14,1,6,325,325,NO
305,11,2019-04-13T08:08:49.000Z,4,75,1724,30,1,9,350,350,NO
306,11,2019-04-02T07:01:24.000Z,4,78,888,12,1,8,450,450,NO
307,11,2019-04-06T15:22:02.000Z,2,79,141,17,1,12,375,375,NO
308,11,2019-04-14T10:45:03.000Z,2,81,461,20,1,2,2300,2300,NO
309,11,2019-04-21T10:45:03.000Z,2,81,461,20,1,2,2300,2300,NO
310,11,2019-04-07T09:27:50.000Z,4,84,1398,14,2,7,160,80,NO
311,11,2019-04-07T09:27:50.000Z,4,9,1398,14,1,5,2300,2300,NO
312,12,2019-04-08T10:37:59.000Z,4,15,1064,25,1,1,925,925,NO
313,12,2019-04-28T14:57:43.000Z,4,23,1084,12,2,14,500,250,NO
314,12,2019-04-06T15:05:31.000Z,2,26,227,12,2,9,600,300,NO
315,12,2019-04-13T07:31:46.000Z,4,32,1055,26,2,10,600,300,NO
316,12,2019-04-13T09:17:06.000Z,7,32,2060,42,2,9,600,300,NO
317,12,2019-04-09T08:27:48.000Z,2,33,534,10,1,7,350,350,NO
318,12,2019-04-12T07:07:44.000Z,4,34,1460,28,1,10,245,245,NO
319,12,2019-04-14T09:06:04.000Z,2,35,86,18,1,7,310,310,NO
320,12,2019-04-18T11:23:03.000Z,7,35,2230,44,1,7,310,310,NO
321,12,2019-04-21T09:06:04.000Z,2,35,86,18,1,7,310,310,NO
322,12,2019-04-11T09:42:51.000Z,2,39,24,20,2,11,850,425,NO
323,12,2019-04-03T18:23:00.000Z,7,42,1756,45,1,18,250,250,NO
324,12,2019-04-20T08:47:35.000Z,2,43,247,9,1,3,300,300,NO
325,12,2019-04-01T13:02:48.000Z,4,45,954,30,1,20,300,300,NO
326,12,2019-04-10T10:30:15.000Z,7,47,1841,42,1,17,300,300,NO
327,12,2019-04-23T10:38:36.000Z,7,47,2140,6,2,7,600,300,NO
328,12,2019-04-12T07:22:16.000Z,7,48,1969,6,1,10,250,250,NO
329,12,2019-04-08T10:37:59.000Z,4,49,1064,25,1,8,300,300,NO
330,12,2019-04-10T06:49:30.000Z,4,50,1628,30,1,18,250,250,NO
331,12,2019-04-07T10:31:54.000Z,2,51,743,20,2,12,600,300,NO
332,12,2019-04-11T06:04:55.000Z,4,51,1034,30,2,13,600,300,NO
333,12,2019-04-07T09:53:51.000Z,7,52,1963,44,1,7,250,250,NO
334,12,2019-04-08T08:37:48.000Z,2,52,87,9,2,15,500,250,NO
335,12,2019-04-09T09:52:23.000Z,4,54,1045,25,1,6,250,250,NO
336,12,2019-04-10T09:53:52.000Z,2,55,562,18,2,12,800,400,NO
337,12,2019-04-19T10:32:06.000Z,4,56,1243,26,2,8,510,255,NO
338,12,2019-04-11T08:43:31.000Z,7,58,1939,42,1,13,350,350,NO
339,12,2019-04-03T14:04:48.000Z,2,59,154,12,2,28,900,450,NO
340,12,2019-04-11T09:42:51.000Z,2,65,24,20,2,10,160,80,NO
341,12,2019-04-09T08:27:48.000Z,2,70,534,10,1,3,325,325,NO
